id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
471580156,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781868403
471569120,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781866735
471569007,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781866709
471565965,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781866137
471550854,Google Ads,Paid Ads,Paint Protection Film (PPF),New Lead,,0.0,0.0,1781863391
471546718,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781862616
471546111,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781862503
471544562,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1781862191
471543645,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781862003
471541209,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781861503
471541062,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781861474
471536879,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781861077
471536500,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781860999
471513615,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781858446
471510298,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781858016
471498390,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781855797
471488679,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781853808
471479306,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781852402
471468855,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781850053
471468679,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781850008
471458655,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781848292
471449473,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781846106
471441219,Meta Ads,Paid Ads,Tinting,,,0.0,0.0,1781844173
471419829,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781839432
471419760,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781839416
471403545,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781837133
471401763,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781836873
471395561,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781836091
471375914,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781834051
471366885,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781832973
471364817,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781832705
471358886,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781832028
